t_sec,speed_kph,speed_kph_smooth
0.0,2.0,2.000000000000001
0.1,2.0,2.0000000000000013
0.2,2.0,2.0000000000000013
0.30000000000000004,2.0,2.0000000000000013
0.4,2.0,2.0000000000000013
0.5,2.0,2.0000000000000058
0.6000000000000001,2.0,2.0000000000000058
0.7000000000000001,2.0,2.0000000000000058
0.8,2.0,2.0000000000000058
0.9,2.0,2.0000000000000058
1.0,2.0,2.0000000000000058
1.1,2.0,2.0000000000000058
1.2000000000000002,2.0,2.0000000000000058
1.3,2.0,2.0000000000000058
1.4000000000000001,2.0,2.0000000000000058
1.5,2.0,2.0000000000000058
1.6,2.0,2.0000000000000058
1.7000000000000002,2.0,2.0000000000000058
1.8,2.0,2.0000000000000058
1.9000000000000001,2.0,2.0000000000000058
2.0,2.0,2.0000000000000058
2.1,2.0,2.0000000000000058
2.2,2.0,2.0000000000000058
2.3000000000000003,2.0,2.0000000000000058
2.4000000000000004,2.0,2.0000000000000058
2.5,2.0,2.0000000000000058
2.6,2.0,2.0000000000000058
2.7,2.0,2.0000000000000058
2.8000000000000003,2.0,2.0000000000000058
2.9000000000000004,2.0,2.0000000000000058
3.0,2.0,2.0000000000000058
3.1,2.0,2.0000000000000058
3.2,2.0,2.0000000000000058
3.3000000000000003,2.0,2.0000000000000058
3.4000000000000004,2.0,2.0000000000000058
3.5,2.0,2.0000000000000058
3.6,2.0,2.0000000000000058
3.7,2.0,2.0000000000000058
3.8000000000000003,2.0,2.0000000000000058
3.9000000000000004,2.0,2.0000000000000058
4.0,2.0,2.0000000000000058
4.1000000000000005,2.0,2.0000000000000058
4.2,2.0,2.0000000000000058
4.3,2.0,2.0000000000000058
4.4,2.0,2.0000000000000058
4.5,2.0,2.0000000000000058
4.6000000000000005,2.0,2.0000000000000058
4.7,2.0,2.0000000000000058
4.800000000000001,2.0,2.0000000000000058
4.9,2.0,2.0000000000000058
5.0,2.0,2.0000000000000058
5.1000000000000005,2.0,2.0000000000000058
5.2,2.0,2.0000000000000058
5.300000000000001,2.0,2.0000000000000058
5.4,2.0,2.0000000000000058
5.5,2.0,2.0000000000000058
5.6000000000000005,2.0,2.0000000000000058
5.7,2.0,2.0000000000000058
5.800000000000001,2.0,2.0000000000000058
5.9,2.0,2.0000000000000058
6.0,2.0,2.0000000000000058
6.1000000000000005,2.0,2.0000000000000058
6.2,2.0,2.0000000000000058
6.300000000000001,2.0,2.0000000000000058
6.4,2.0,2.0000000000000058
6.5,2.0,2.0000000000000058
6.6000000000000005,2.0,2.0000000000000058
6.7,2.0,2.0000000000000058
6.800000000000001,2.0,2.0000000000000058
6.9,2.0,2.0000000000000058
7.0,2.0,2.0000000000000058
7.1000000000000005,2.0,2.0000000000000058
7.2,2.0,2.0000000000000058
7.300000000000001,2.0,2.0000000000000058
7.4,2.0,2.0000000000000058
7.5,2.0,2.0000000000000058
7.6000000000000005,2.0,2.0000000000000058
7.7,2.0,2.0000000000000058
7.800000000000001,2.0,2.0000000000000058
7.9,2.0,2.0000000000000058
8.0,2.0,2.0000000000000058
8.1,2.0,2.0000000000000058
8.200000000000001,2.0,2.0000000000000058
8.3,2.0,2.0000000000000058
8.4,2.0,2.0000000000000058
8.5,2.0,2.0000000000000058
8.6,2.0,2.0000000000000058
8.700000000000001,2.0,2.0000000000000058
8.8,2.0,2.0000000000000058
8.9,2.0,2.0000000000000058
9.0,2.0,2.0000000000000058
9.1,2.0,2.0000000000000058
9.200000000000001,2.0,2.0000000000000058
9.3,2.0,2.0000000000000058
9.4,2.0,2.0000000000000058
9.5,2.0,2.0000000000000058
9.600000000000001,2.0,2.0000000000000058
9.700000000000001,2.0,2.0000000000000058
9.8,2.0,2.0000000000000058
9.9,2.0,2.0000000000000058
10.0,2.0,2.0000000000000058
10.100000000000001,2.0,2.0000000000000058
10.200000000000001,2.0,2.0000000000000058
10.3,2.0,2.0000000000000058
10.4,2.0,2.0000000000000058
10.5,2.0,2.0000000000000058
10.600000000000001,2.0,2.0000000000000058
10.700000000000001,2.0,2.0000000000000058
10.8,2.0,2.0000000000000058
10.9,2.0,2.0000000000000058
11.0,2.0,2.0000000000000058
